Player,Pos,Squad,Age,MP,Min,Gls,Ast,xG,SoT
Max Aarons,DF,Bournemouth,24.0,3,86,0,0,0.0,0
Max Aarons,"DF,MF",Valencia,24.0,4,120,0,0,0.0,0
Rodrigo Abajas,DF,Valencia,21.0,1,65,0,0,0.1,0
James Abankwah,"DF,MF",Udinese,20.0,6,88,0,0,0.1,0
Keyliane Abdallah,FW,Marseille,18.0,1,3,0,0,0.0,0
Yunis Abdelhamid,DF,Saint-Étienne,36.0,16,1033,0,0,0.2,1
Himad Abdelli,"MF,FW",Angers,24.0,32,2842,6,1,6.4,8
Mohamed Abdelmoneim,DF,Nice,25.0,12,855,0,0,0.0,0
Ali Abdi,"DF,MF",Nice,30.0,25,1393,5,2,4.3,11
Saud Abdulhamid,DF,Roma,25.0,4,205,0,1,0.0,0
Abel,DF,Osasuna,23.0,35,2074,2,0,0.5,4
Nabil Aberdin,MF,Getafe,21.0,7,263,0,0,0.0,0
Oliver Abildgaard,MF,Como,28.0,1,7,0,0,0.0,0
Matthis Abline,FW,Nantes,21.0,34,2768,9,2,8.5,26
Abner,DF,Lyon,24.0,19,1090,1,1,0.6,3
Zakaria Aboukhlal,"MF,FW",Toulouse,24.0,26,1901,7,2,10.2,26
Abdel Abqar,DF,Alavés,25.0,29,2463,0,1,0.9,1
Tammy Abraham,FW,Roma,26.0,1,1,0,0,0.0,0
Tammy Abraham,FW,Milan,26.0,28,1183,3,4,7.1,11
Federico Accornero,MF,Genoa,20.0,1,5,0,0,0.0,0
Francesco Acerbi,DF,Inter,36.0,23,1710,0,1,0.4,1
Joshua Acheampong,DF,Chelsea,18.0,4,170,0,0,0.2,0
Akor Adams,FW,Sevilla,24.0,4,134,0,0,0.4,1
Akor Adams,FW,Montpellier,24.0,15,1075,3,1,4.3,12
Che Adams,FW,Torino,28.0,36,2652,9,3,9.0,25
Tyler Adams,MF,Bournemouth,25.0,28,1965,0,3,1.6,2
Junior Adamu,FW,Freiburg,23.0,25,1545,2,2,5.5,11
Tosin Adarabioyo,DF,Chelsea,26.0,22,1409,1,1,0.9,2
Martin Adeline,MF,Reims,20.0,1,26,0,0,0.0,0
Karim Adeyemi,"FW,MF",Dortmund,22.0,25,1433,7,6,5.5,18
Simon Adingra,"FW,MF",Brighton,22.0,29,1097,2,2,2.5,8
Amine Adli,"MF,FW",Leverkusen,24.0,20,766,2,0,2.7,7
Yacine Adli,MF,Fiorentina,24.0,25,1219,4,6,1.0,5
Adrián,GK,Betis,37.0,19,1710,0,0,0.0,0
Adryelson,DF,Lyon,26.0,1,1,0,0,0.0,0
Vasilije Adžić,"MF,FW",Juventus,18.0,6,42,0,0,0.0,1
Michel Aebischer,MF,Bologna,27.0,14,724,0,0,0.4,5
Oladapo Afolayan,"FW,MF",St. Pauli,26.0,32,1639,3,1,3.1,13
Emmanuel Agbadou,DF,Wolves,27.0,16,1410,1,0,0.8,2
Emmanuel Agbadou,DF,Reims,27.0,14,1260,0,0,0.5,3
Asher Agbinone,MF,Crystal Palace,18.0,2,6,0,0,0.0,0
Jeremy Agbonifo,"FW,MF",Lens,18.0,8,300,1,0,0.7,4
Julen Agirrezabala,GK,Athletic Club,23.0,14,1206,0,0,0.0,0
Lucien Agoume,MF,Sevilla,22.0,35,2114,1,3,0.9,2
Felix Agu,DF,Werder Bremen,24.0,22,1751,3,0,1.4,4
Álvaro Aguado,MF,Espanyol,28.0,16,443,0,1,0.6,1
Lorenzo Aguado,DF,Real Madrid,21.0,2,5,0,0,0.0,0
Nayef Aguerd,DF,Real Sociedad,28.0,21,1760,0,0,2.4,5
Ruben Aguilar,"DF,MF",Lens,31.0,16,1124,1,2,0.8,3
Naouirou Ahamada,"MF,FW",Rennes,22.0,3,58,0,0,0.0,0
Honest Ahanor,"DF,MF",Genoa,16.0,6,270,0,0,0.5,1
Erik Ahlstrand,"FW,MF",St. Pauli,22.0,5,43,0,0,0.0,0
Jean-Eudes Aholou,MF,Angers,30.0,26,1959,2,0,1.8,7
Joseph Aidoo,DF,Valladolid,28.0,8,583,0,0,0.0,0
Joseph Aidoo,DF,Celta Vigo,28.0,1,2,0,0,0.0,0
Ayman Aiki,"FW,MF",Saint-Étienne,19.0,5,127,0,0,0.1,1
Ola Aina,DF,Nott'ham Forest,27.0,35,2995,2,1,0.6,2
Rayan Aït-Nouri,DF,Wolves,23.0,37,3109,4,7,2.7,10
Junior Ajayi,FW,Hellas Verona,19.0,2,13,0,0,0.0,0
Kristoffer Ajer,DF,Brentford,26.0,24,1438,0,0,1.0,3
